,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,faanui,-16.48,-151.75,78.08000000000004,73.0,24.0,5.1,PF,08-17-2020
132,port-gentil,-0.72,8.78,77.0,83.0,40.0,7.26,GA,08-17-2020
133,la palma,33.85,-118.05,96.00800000000001,46.0,75.0,2.6,US,08-17-2020
134,santa vitoria do palmar,-33.52,-53.37,50.774000000000015,72.0,0.0,2.21,BR,08-17-2020
135,doha,25.29,51.53,96.8,28.0,36.0,2.1,QA,08-17-2020
136,fort-shevchenko,44.51,50.26,72.57200000000003,56.0,0.0,7.38,KZ,08-17-2020
138,torbay,47.67,-52.73,73.00400000000005,46.0,90.0,4.6,CA,08-17-2020
139,acapulco,16.86,-99.89,78.80000000000001,88.0,90.0,2.6,MX,08-17-2020
140,jijiga,9.35,42.8,67.334,72.0,74.0,6.15,ET,08-17-2020
142,cabinda,-5.55,12.2,73.11200000000005,89.0,100.0,4.14,AO,08-17-2020
143,pisco,-13.7,-76.22,64.4,77.0,1.0,4.1,PE,08-17-2020
144,yulara,-25.24,130.99,44.6,43.0,0.0,0.98,AU,08-17-2020
145,hearst,49.68,-83.67,63.05,73.0,13.0,4.9,CA,08-17-2020
146,sur,22.57,59.53,87.83600000000007,59.0,80.0,5.1,OM,08-17-2020
147,fatezh,52.09,35.86,60.00800000000001,81.0,0.0,1.34,RU,08-17-2020
148,pangnirtung,66.15,-65.71,50.0,87.0,75.0,4.1,CA,08-17-2020
149,bluff,-46.6,168.33,35.00600000000003,97.0,100.0,1.79,NZ,08-17-2020
150,sola,-13.88,167.55,80.6,88.0,75.0,2.6,VU,08-17-2020
151,baillif,16.02,-61.75,86.0,66.0,75.0,6.7,GP,08-17-2020
152,beringovskiy,63.05,179.32,51.56600000000001,85.0,100.0,7.11,RU,08-17-2020
153,georgetown,5.41,100.34,78.80000000000001,88.0,20.0,1.5,MY,08-17-2020
154,yuancheng,36.65,107.79,57.36200000000006,84.0,100.0,1.41,CN,08-17-2020
155,nikolskoye,59.7,30.79,57.00200000000008,82.0,0.0,1.42,RU,08-17-2020
156,ancud,-41.87,-73.82,48.2,70.0,75.0,5.1,CL,08-17-2020
157,mount isa,-20.73,139.5,48.2,32.0,0.0,2.78,AU,08-17-2020
158,pacific grove,36.62,-121.92,75.2,53.0,1.0,6.2,US,08-17-2020
159,gwanda,-20.93,29.0,56.156000000000034,85.0,0.0,4.8,ZW,08-17-2020
160,bubaque,11.28,-15.83,80.63600000000008,82.0,86.0,7.43,GW,08-17-2020
161,richards bay,-28.78,32.04,66.84800000000003,67.0,1.0,10.61,ZA,08-17-2020
162,yellowknife,62.46,-114.35,66.2,52.0,40.0,2.1,CA,08-17-2020
163,nelson bay,-32.72,152.15,53.6,66.0,75.0,3.6,AU,08-17-2020
164,kaitangata,-46.28,169.85,39.00200000000008,85.0,94.0,2.46,NZ,08-17-2020
165,tilichiki,60.47,166.1,52.08800000000005,56.0,13.0,4.73,RU,08-17-2020
